DATE;GDP_US;GDP_EUR
30/01/2005;12767,286;2019,5334
30/04/2005;12922,656;2113,7782
30/07/2005;13142,642;2092,8273
30/10/2005;13324,204;2218,3853
30/01/2006;13599,16;2129,4779
30/04/2006;13753,424;2216,4053
30/07/2006;13870,188;2201,2465
30/10/2006;14039,56;2346,0583
30/01/2007;14215,651;2258,218
30/04/2007;14402,082;2339,7291
30/07/2007;14564,117;2323,7582
30/10/2007;14715,058;2465,128
30/01/2008;14706,538;2346,0956
30/04/2008;14865,701;2433,7776
30/07/2008;14898,999;2387,4631
30/10/2008;14608,209;2452,8279
30/01/2009;14430,902;2247,2977
30/04/2009;14381,236;2308,5798
30/07/2009;14448,882;2299,6287
30/10/2009;14651,249;2416,8192
30/01/2010;14764,61;2284,6691
30/04/2010;14980,193;2380,264
30/07/2010;15141,607;2375,6558
30/10/2010;15309,474;2492,9476
30/01/2011;15351,448;2379,1409
30/04/2011;15557,539;2452,2491
30/07/2011;15647,68;2437,681
30/10/2011;15842,259;2528,6692
30/01/2012;16068,805;2404,7005
30/04/2012;16207,115;2454,1407
30/07/2012;16319,541;2444,8047
30/10/2012;16420,419;2533,3692
30/01/2013;16648,189;2396,5955
30/04/2013;16728,687;2482,3545
30/07/2013;16953,838;2483,8744
30/10/2013;17192,019;2573,1473
30/01/2014;17197,738;2462,0327
30/04/2014;17518,508;2529,5657
30/07/2014;17804,228;2539,5324
30/10/2014;17912,079;2638,7131
30/01/2015;18063,529;2536,1375
30/04/2015;18279,784;2617,9481
30/07/2015;18401,626;2630,2809
30/10/2015;18435,137;2739,2561
30/01/2016;18525,933;2609,8074
30/04/2016;18711,702;2706,2372
30/07/2016;18892,639;2692,727
30/10/2016;19089,379;2808,0418
30/01/2017;19280,084;2707,6983
30/04/2017;19438,643;2790,6013
30/07/2017;19692,595;2799,5171
30/10/2017;20037,088;2927,1013
30/01/2018;20328,553;2804,3646
30/04/2018;20580,912;2892,3833
30/07/2018;20798,73;2883,3848
30/10/2018;20917,867;3020,0229
30/01/2019;21104,133;2899,764
30/04/2019;21384,775;2982,1769
30/07/2019;21694,282;2995,512
30/10/2019;21902,39;3109,6704
30/01/2020;21706,513;2876,611
30/04/2020;19913,143;2633,7361
30/07/2020;21647,64;2912,1967
30/10/2020;22024,502;3043,9134
30/01/2021;22600,185;2920,0387
30/04/2021;23292,362;3058,5022
30/07/2021;23828,973;3141,3586
30/10/2021;24654,603;3296,2013
30/01/2022;25029,116;3199,041
30/04/2022;25544,273;3332,1032
30/07/2022;25994,639;3372,6366
30/10/2022;26408,405;3535,6268
30/01/2023;26813,601;3461,3821
30/04/2023;27063,012;3554,6297
30/07/2023;27610,128;3564,2538
30/10/2023;27956,998;3719,7608
